asd,co,Columna1,Columna2,Columna2
41202174,0,,,
41202175,0,,,
41202176,0,,,
41202177,0,,,
41202178,0,,,
41202179,0,,,
41202180,0,,,
41202181,0,,,
41202182,0,,,
41202183,0,,,
41202184,0,,,
41202185,0,,,
41202186,0,,,
41202187,0,,,
41202188,0,,,
41202189,0,,,
41202190,0,,,
41202191,0,,,
41202192,0,,,
41202193,0,,,
41202194,0,,,
41202195,0,,,
41202196,0,,,
41202197,0,,,
41202198,0,,,
41202199,0,,,
41202200,0,,,
41202201,0,,,
41202202,0,,,
41202203,0,,,
41202204,0,,,
41202205,0,,,
41202206,0,,,
41202207,0,,,
41202208,0,,,
41202209,0,,,
41202210,0,,,
41202211,0,,,
41202212,0,,,
41202213,0,,,
41202214,0,,,
41202215,0,,,
41202216,0,,,
41202217,0,,,
41202218,0,,,
41202219,0,,,
41202220,0,,,
41202221,0,,,
41202222,0,,,
41202223,0,,,
41202224,0,,,
41202225,0,,,
41202226,0,,,
41202227,0,,,
41202228,0,,,
41202229,0,,,
41202230,0,,,
41202231,0,,,
41202232,0,,,
41202233,0,,,
41202234,0,,,
41202235,0,,,
41202236,0,,,
41202237,0,,,
41202238,0,,,
41202239,0,,,
41202240,0,,,
41202241,0,,,
41202242,0,,,
41202243,0,,,
41202244,0,,,
41202245,0,,,
41202246,0,,,
41202247,0,,,
41202248,0,,,
41202249,0,,,
41202250,0,,,
41202251,0,,,
41202252,0,,,
41202253,0,,,
41202254,0,,,
41202255,0,,,
41202256,0,,,
41202257,0,,,
41202258,0,,,
41202259,0,,,
41202260,0,,,
41202261,0,,,
41202262,0,,,
41202263,0,,,
41202264,0,,,
41202265,0,,,
41202266,0,,,
41202267,0,,,
41202268,0,,,
41202269,0,,,
41202270,0,,,
41202271,0,,,
41202272,0,,,
41202273,0,,,
41202274,0,,,
41202275,0,,,
41202276,0,,,
41202277,0,,,
41202278,0,,,
41202279,0,,,
41202280,0,,,
41202281,0,,,
41202282,0,,,
41202283,0,,,
41202284,0,,,
41202285,0,,,
41202286,0,,,
41202287,0,,,
41202288,0,,,
41202289,0,,,
41202290,0,,,
41202291,0,,,
41202292,0,,,
41202293,0,,,
41202294,0,,,
41202295,0,,,
41202296,0,,,
41202297,0,,,
41202298,0,,,
41202299,0,,,
41202300,0,,,
41202301,0,,,
41202302,0,,,
41202303,0,,,
41202304,0,,,
41202305,0,,,
41202306,0,,,
41202307,0,,,
41202308,0,,,
41202309,0,,,
41202310,0,,,
41202311,0,,,
41202312,0,,,
41202313,0,,,
41202314,0,,,
41202315,0,,,
41202316,0,,,
41202317,0,,,
41202318,0,,,
41202319,0,,,
41202320,0,,,
41202321,0,,,
41202322,0,,,
41202323,0,,,
41202324,0,,,
41202325,0,,,
41202326,0,,,
41202327,0,,,
41202328,0,,,
41202329,0,,,
41202330,0,,,
41202331,0,,,
41202332,0,,,
41202333,0,,,
41202334,0,,,
41202335,0,,,
41202336,0,,,
41202337,0,,,
41202338,0,,,
41202339,0,,,
41202340,0,,,
41202341,0,,,
41202342,0,,,
41202343,0,,,
41202344,0,,,
41202345,0,,,
41202346,0,,,
41202347,0,,,
41202348,0,,,
41202349,0,,,
41202350,0,,,
41202351,0,,,
41202352,0,,,
41202353,0,,,
41202354,0,,,
41202355,0,,,
41202356,0,,,
41202357,0,,,
41202358,0,,,
41202359,0,,,
41202360,0,,,
41202361,0,,,
41202362,0,,,
41202363,0,,,
41202364,0,,,
41202365,0,,,
41202366,0,,,
41202367,0,,,
41202368,0,,,
41202369,0,,,
41202370,0,,,
41202371,0,,,
41202372,0,,,
41202373,0,,,
41202374,0,,,
41202375,0,,,
41202376,0,,,
41202377,0,,,
41202378,0,,,
41202379,0,,,
41202380,0,,,
41202381,0,,,
41202382,0,,,
41202383,0,,,
41202384,0,,,
41202385,0,,,
41202386,0,,,
41202387,0,,,
41202388,0,,,
41202389,0,,,
41202390,0,,,
41202391,0,,,
41202392,0,,,
41202393,0,,,
41202394,0,,,
41202395,0,,,
41202396,0,,,
41202397,0,,,
41202398,0,,,
41202399,0,,,
41202400,0,,,
41202401,0,,,
41202402,0,,,
41202403,0,,,
41202404,0,,,
41202405,0,,,
41202406,0,,,
41202407,0,,,
41202408,0,,,
41202409,0,,,
41202410,0,,,
41202411,0,,,
41202412,0,,,
41202413,0,,,
41202414,0,,,
41202415,0,,,
41202416,0,,,
41202417,0,,,
41202418,0,,,
41202419,0,,,
41202420,0,,,
41202421,0,,,
41202422,0,,,
41202423,0,,,
41202424,0,,,
41202425,0,,,
41202426,0,,,
41202427,0,,,
41202428,0,,,
41202429,0,,,
41202430,0,,,
41202431,0,,,
41202432,0,,,
41202433,0,,,
41202434,0,,,
41202435,0,,,
41202436,0,,,
41202437,0,,,
41202438,0,,,
41202439,0,,,
41202440,0,,,
41202441,0,,,
41202442,0,,,
41202443,0,,,
41202444,0,,,
41202445,0,,,
41202446,0,,,
41202447,0,,,
41202448,0,,,
41202449,0,,,
41202450,0,,,
41202451,0,,,
41202452,0,,,
41202453,0,,,
41202454,0,,,
41202455,0,,,
41202456,0,,,
41202457,0,,,
41202458,0,,,
41202459,0,,,
41202460,0,,,
41202461,0,,,
41202462,0,,,
41202463,0,,,
41202464,0,,,
41202465,0,,,
41202466,0,,,
41202467,0,,,
41202468,0,,,
41202469,0,,,
41202470,0,,,
41202471,0,,,
41202472,0,,,
41202473,0,,,
41202474,0,,,
41202475,0,,,
41202476,0,,,
41202477,0,,,
41202478,0,,,
41202479,0,,,
41202480,0,,,
41202481,0,,,
41202482,0,,,
41202483,0,,,
41202484,0,,,
41202485,0,,,
41202486,0,,,
41202487,0,,,
41202488,0,,,
41202489,0,,,
41202490,0,,,
41202491,0,,,
41202492,0,,,
41202493,0,,,
41202494,0,,,
41202495,0,,,
41202496,0,,,
41202497,0,,,
41202498,0,,,
41202499,0,,,
41202500,0,,,
41202501,0,,,
41202502,0,,,
41202503,0,,,
41202504,0,,,
41202505,0,,,
41202506,0,,,
41202507,0,,,
41202508,0,,,
41202509,0,,,
41202510,0,,,
41202511,0,,,
41202512,0,,,
41202513,0,,,
41202514,0,,,
41202515,0,,,
41202516,0,,,
41202517,0,,,
41202518,0,,,
41202519,0,,,
41202520,0,,,
41202521,0,,,
41202522,0,,,
41202523,0,,,
41202524,0,,,
41202525,0,,,
41202526,0,,,
41202527,0,,,
41202528,0,,,
41202529,0,,,
41202530,0,,,
41202531,0,,,
41202532,0,,,
41202533,0,,,
41202534,0,,,
41202535,0,,,
41202536,0,,,
41202537,0,,,
41202538,0,,,
41202539,0,,,
41202540,0,,,
41202541,0,,,
41202542,0,,,
41202543,0,,,
41202544,0,,,
41202545,0,,,
41202546,0,,,
41202547,0,,,
41202548,0,,,
41202549,0,,,
41202550,0,,,
41202551,0,,,
41202552,0,,,
41202553,0,,,
41202554,0,,,
41202555,0,,,
41202556,0,,,
41202557,0,,,
41202558,0,,,
41202559,0,,,
41202560,0,,,
41202561,0,,,
41202562,0,,,
41202563,0,,,
41202564,0,,,
41202565,0,,,
41202566,0,,,
41202567,0,,,
41202568,0,,,
41202569,0,,,
41202570,0,,,
41202571,0,,,
41202572,0,,,
41202573,0,,,
41202574,0,,,
41202575,0,,,
41202576,0,,,
41202577,0,,,
41202578,0,,,
41202579,0,,,
41202580,0,,,
41202581,0,,,
41202582,0,,,
41202583,0,,,
41202584,0,,,
41202585,0,,,
41202586,0,,,
41202587,0,,,
41202588,0,,,
41202589,0,,,
41202590,0,,,
41202591,0,,,
41202592,0,,,
41202593,0,,,
41202594,0,,,
41202595,0,,,
41202596,0,,,
41202597,0,,,
41202598,0,,,
41202599,0,,,
41202600,0,,,
41202601,0,,,
41202602,0,,,
41202603,0,,,
41202604,0,,,
41202605,0,,,
41202606,0,,,
41202607,0,,,
41202608,0,,,
41202609,0,,,
41202610,0,,,
41202611,0,,,
41202612,0,,,
41202613,0,,,
41202614,0,,,
41202615,0,,,
41202616,0,,,
41202617,0,,,
41202618,0,,,
41202619,0,,,
41202620,0,,,
41202621,0,,,
41202622,0,,,
41202623,0,,,
41202624,0,,,
41202625,0,,,
41202626,0,,,
41202627,0,,,
41202628,0,,,
41202629,0,,,
41202630,0,,,
41202631,0,,,
41202632,0,,,
41202633,0,,,
41202634,0,,,
41202635,0,,,
41202636,0,,,
41202637,0,,,
41202638,0,,,
41202639,0,,,
41202640,0,,,
41202641,0,,,
41202642,0,,,
41202643,0,,,
41202644,0,,,
41202645,0,,,
41202646,0,,,
41202647,0,,,
41202648,0,,,
41202649,0,,,
41202650,0,,,
41202651,0,,,
41202652,0,,,
41202653,0,,,
41202654,0,,,
41202655,0,,,
41202656,0,,,
41202657,0,,,
41202658,0,,,
41202659,0,,,
41202660,0,,,
41202661,0,,,
41202662,0,,,
41202663,0,,,
41202664,0,,,
41202665,0,,,
41202666,0,,,
41202667,0,,,
41202668,0,,,
41202669,0,,,
41202670,0,,,
41202671,0,,,
41202672,0,,,
41202673,0,,,
41202674,0,,,
41202675,0,,,
41202676,0,,,
41202677,0,,,
41202678,0,,,
41202679,0,,,
41202680,0,,,
41202681,0,,,
41202682,0,,,
41202683,0,,,
41202684,0,,,
41202685,0,,,
41202686,0,,,
41202687,0,,,
41202688,0,,,
41202689,0,,,
41202690,0,,,
41202691,0,,,
41202692,0,,,
41202693,0,,,
41202694,0,,,
41202695,0,,,
41202696,0,,,
41202697,0,,,
41202698,0,,,
41202699,0,,,
41202700,0,,,
41202701,0,,,
41202702,0,,,
41202703,0,,,
41202704,0,,,
41202705,0,,,
41202706,0,,,
41202707,0,,,
41202708,0,,,
41202709,0,,,
41202710,0,,,
41202711,0,,,
41202712,0,,,
41202713,0,,,
41202714,0,,,
41202715,0,,,
41202716,0,,,
41202717,0,,,
41202718,0,,,
41202719,0,,,
41202720,0,,,
41202721,0,,,
41202722,0,,,
41202723,0,,,
41202724,0,,,
41202725,0,,,
41202726,0,,,
41202727,0,,,
41202728,0,,,
41202729,0,,,
41202730,0,,,
41202731,0,,,
41202732,0,,,
41202733,0,,,
41202734,0,,,
41202735,0,,,
41202736,0,,,
41202737,0,,,
41202738,0,,,
41202739,0,,,
41202740,0,,,
41202741,0,,,
41202742,0,,,
41202743,0,,,
41202744,0,,,
41202745,0,,,
41202746,0,,,
41202747,0,,,
41202748,0,,,
41202749,0,,,
41202750,0,,,
41202751,0,,,
41202752,0,,,
41202753,0,,,
41202754,0,,,
41202755,0,,,
41202756,0,,,
41202757,0,,,
41202758,0,,,
41202759,0,,,
41202760,0,,,
41202761,0,,,
41202762,0,,,
41202763,0,,,
41202764,0,,,
41202765,0,,,
41202766,0,,,
41202767,0,,,
41202768,0,,,
41202769,0,,,
41202770,0,,,
41202771,0,,,
41202772,0,,,
41202773,0,,,
41202774,0,,,
41202775,0,,,
41202776,0,,,
41202777,0,,,
41202778,0,,,
41202779,0,,,
41202780,0,,,
41202781,0,,,
41202782,0,,,
41202783,0,,,
41202784,0,,,
41202785,0,,,
41202786,0,,,
41202787,0,,,
41202788,0,,,
41202789,0,,,
41202790,0,,,
41202791,0,,,
41202792,0,,,
41202793,0,,,
41202794,0,,,
41202795,0,,,
41202796,0,,,
41202797,0,,,
41202798,0,,,
41202799,0,,,
41202800,0,,,
41202801,0,,,
41202802,0,,,
41202803,0,,,
41202804,0,,,
41202805,0,,,
41202806,0,,,
41202807,0,,,
41202808,0,,,
41202809,0,,,
41202810,0,,,
41202811,0,,,
41202812,0,,,
41202813,0,,,
41202814,0,,,
41202815,0,,,
41202816,0,,,
41202817,0,,,
41202818,0,,,
41202819,0,,,
41202820,0,,,
41202821,0,,,
41202822,0,,,
41202823,0,,,
41202824,0,,,
41202825,0,,,
41202826,0,,,
41202827,0,,,
41202828,0,,,
41202829,0,,,
41202830,0,,,
41202831,0,,,
41202832,0,,,
41202833,0,,,
41202834,0,,,
41202835,0,,,
41202836,0,,,
41202837,0,,,
41202838,0,,,
41202839,0,,,
41202840,0,,,
41202841,0,,,
41202842,0,,,
41202843,0,,,
41202844,0,,,
41202845,0,,,
41202846,0,,,
41202847,0,,,
41202848,0,,,
41202849,0,,,
41202850,0,,,
41202851,0,,,
41202852,0,,,
41202853,0,,,
41202854,0,,,
41202855,0,,,
41202856,0,,,
41202857,0,,,
41202858,0,,,
41202859,0,,,
41202860,0,,,
41202861,0,,,
41202862,0,,,
41202863,0,,,
41202864,0,,,
41202865,0,,,
41202866,0,,,
41202867,0,,,
41202868,0,,,
41202869,0,,,
41202870,0,,,
41202871,0,,,
41202872,0,,,
41202873,0,,,
41202874,0,,,
41202875,0,,,
41202876,0,,,
41202877,0,,,
41202878,0,,,
41202879,0,,,
41202880,0,,,
41202881,0,,,
41202882,0,,,
41202883,0,,,
41202884,0,,,
41202885,0,,,
41202886,0,,,
41202887,0,,,
41202888,0,,,
41202889,0,,,
41202890,0,,,
41202891,0,,,
41202892,0,,,
41202893,0,,,
41202894,0,,,
41202895,0,,,
41202896,0,,,
41202897,0,,,
41202898,0,,,
41202899,0,,,
41202900,0,,,
41202901,0,,,
41202902,0,,,
41202903,0,,,
41202904,0,,,
41202905,0,,,
41202906,0,,,
41202907,0,,,
41202908,0,,,
41202909,0,,,
41202910,0,,,
41202911,0,,,
41202912,0,,,
41202913,0,,,
41202914,0,,,
41202915,0,,,
41202916,0,,,
41202917,0,,,
41202918,0,,,
41202919,0,,,
41202920,0,,,
41202921,0,,,
41202922,0,,,
41202923,0,,,
41202924,0,,,
41202925,0,,,
41202926,0,,,
41202927,0,,,
41202928,0,,,
41202929,0,,,
41202930,0,,,
41202931,0,,,
41202932,0,,,
41202933,0,,,
41202934,0,,,
41202935,0,,,
41202936,0,,,
41202937,0,,,
41202938,0,,,
41202939,0,,,
41202940,0,,,
41202941,0,,,
41202942,0,,,
41202943,0,,,
41202944,0,,,
41202945,0,,,
41202946,0,,,
41202947,0,,,
41202948,0,,,
41202949,0,,,
41202950,0,,,
41202951,0,,,
41202952,0,,,
41202953,0,,,
41202954,0,,,
41202955,0,,,
41202956,0,,,
41202957,0,,,
41202958,0,,,
41202959,0,,,
41202960,0,,,
41202961,0,,,
41202962,0,,,
41202963,0,,,
41202964,0,,,
41202965,0,,,
41202966,0,,,
41202967,0,,,
41202968,0,,,
41202969,0,,,
41202970,0,,,
41202971,0,,,
41202972,0,,,
41202973,0,,,
41202974,0,,,
41202975,0,,,
41202976,0,,,
41202977,0,,,
41202978,0,,,
41202979,0,,,
41202980,0,,,
41202981,0,,,
41202982,0,,,
41202983,0,,,
41202984,0,,,
41202985,0,,,
41202986,0,,,
41202987,0,,,
41202988,0,,,
41202989,0,,,
41202990,0,,,
41202991,0,,,
41202992,0,,,
41202993,0,,,
41202994,0,,,
41202995,0,,,
41202996,0,,,
41202997,0,,,
41202998,0,,,
41202999,0,,,
41203000,0,,,
41203001,0,,,
41203002,0,,,
41203003,0,,,
41203004,0,,,
41203005,0,,,
41203006,0,,,
41203007,0,,,
41203008,0,,,
41203009,0,,,
41203010,0,,,
41203011,0,,,
41203012,0,,,
41203013,0,,,
41203014,0,,,
41203015,0,,,
41203016,0,,,
41203017,0,,,
41203018,0,,,
41203019,0,,,
41203020,0,,,
41203021,0,,,
41203022,0,,,
41203023,0,,,
41203024,0,,,
41203025,0,,,
41203026,0,,,
41203027,0,,,
41203028,0,,,
41203029,0,,,
41203030,0,,,
41203031,0,,,
41203032,0,,,
41203033,0,,,
41203034,0,,,
41203035,0,,,
41203036,0,,,
41203037,0,,,
41203038,0,,,
41203039,0,,,
41203040,0,,,
41203041,0,,,
41203042,0,,,
41203043,0,,,
41203044,0,,,
41203045,0,,,
41203046,0,,,
41203047,0,,,
41203048,0,,,
41203049,0,,,
41203050,0,,,
41203051,0,,,
41203052,0,,,
41203053,0,,,
41203054,0,,,
41203055,0,,,
41203056,0,,,
41203057,0,,,
41203058,0,,,
41203059,0,,,
41203060,0,,,
41203061,0,,,
41203062,0,,,
41203063,0,,,
41203064,0,,,
41203065,0,,,
41203066,0,,,
41203067,0,,,
41203068,0,,,
41203069,0,,,
41203070,0,,,
41203071,0,,,
41203072,0,,,
41203073,0,,,
41203074,0,,,
41203075,0,,,
41203076,0,,,
41203077,0,,,
41203078,0,,,
41203079,0,,,
41203080,0,,,
41203081,0,,,
41203082,0,,,
41203083,0,,,
41203084,0,,,
41203085,0,,,
41203086,0,,,
41203087,0,,,
41203088,0,,,
41203089,0,,,
41203090,0,,,
41203091,0,,,
41203092,0,,,
41203093,0,,,
41203094,0,,,
41203095,0,,,
41203096,0,,,
41203097,0,,,
41203098,0,,,
41203099,0,,,
41203100,0,,,
41203101,0,,,
41203102,0,,,
41203103,0,,,
41203104,0,,,
41203105,0,,,
41203106,0,,,
41203107,0,,,
41203108,0,,,
41203109,0,,,
41203110,0,,,
41203111,0,,,
41203112,0,,,
41203113,0,,,
41203114,0,,,
41203115,0,,,
41203116,0,,,
41203117,0,,,
41203118,0,,,
41203119,0,,,
41203120,0,,,
41203121,0,,,
41203122,0,,,
41203123,0,,,
41203124,0,,,
41203125,0,,,
41203126,0,,,
41203127,0,,,
41203128,0,,,
41203129,0,,,
41203130,0,,,
41203131,0,,,
41203132,0,,,
41203133,0,,,
41203134,0,,,
41203135,0,,,
41203136,0,,,
41203137,0,,,
41203138,0,,,
41203139,0,,,
41203140,0,,,
41203141,0,,,
41203142,0,,,
41203143,0,,,
41203144,0,,,
41203145,0,,,
41203146,0,,,
41203147,0,,,
41203148,0,,,
41203149,0,,,
41203150,0,,,
41203151,0,,,
41203152,0,,,
41203153,0,,,
41203154,0,,,
41203155,0,,,
41203156,0,,,
41203157,0,,,
41203158,0,,,
41203159,0,,,
41203160,0,,,
41203161,0,,,
41203162,0,,,
41203163,0,,,
41203164,0,,,
41203165,0,,,
41203166,0,,,
41203167,0,,,
41203168,0,,,
41203169,0,,,
41203170,0,,,
41203171,0,,,
41203172,0,,,
41203173,0,,,
41203174,0,,,
41203175,0,,,
41203176,0,,,
41203177,0,,,
41203178,0,,,
41203179,0,,,
41203180,0,,,
41203181,0,,,
41203182,0,,,
41203183,0,,,
41203184,0,,,
41203185,0,,,
41203186,0,,,
41203187,0,,,
41203188,0,,,
41203189,0,,,
41203190,0,,,
41203191,0,,,
41203192,0,,,
41203193,0,,,
41203194,0,,,
41203195,0,,,
41203196,0,,,
41203197,0,,,
41203198,0,,,
41203199,0,,,
41203200,0,,,
41203201,0,,,
41203202,0,,,
41203203,0,,,
41203204,0,,,
41203205,0,,,
41203206,0,,,
41203207,0,,,
41203208,0,,,
41203209,0,,,
41203210,0,,,
41203211,0,,,
41203212,0,,,
41203213,0,,,
41203214,0,,,
41203215,0,,,
41203216,0,,,
41203217,0,,,
41203218,0,,,
41203219,0,,,
41203220,0,,,
41203221,0,,,
41203222,0,,,
41203223,0,,,
41203224,0,,,
41203225,0,,,
41203226,0,,,
41203227,0,,,
41203228,0,,,
41203229,0,,,
41203230,0,,,
41203231,0,,,
41203232,0,,,
41203233,0,,,
41203234,0,,,
41203235,0,,,
41203236,0,,,
41203237,0,,,
41203238,0,,,
41203239,0,,,
41203240,0,,,
41203241,0,,,
41203242,0,,,
41203243,0,,,
41203244,0,,,
41203245,0,,,
41203246,0,,,
41203247,0,,,
41203248,0,,,
41203249,0,,,
41203250,0,,,
41203251,0,,,
41203252,0,,,
41203253,0,,,
41203254,0,,,
41203255,0,,,
41203256,0,,,
41203257,0,,,
41203258,0,,,
41203259,0,,,
41203260,0,,,
41203261,0,,,
41203262,0,,,
41203263,0,,,
41203264,0,,,
41203265,0,,,
41203266,0,,,
41203267,0,,,
41203268,0,,,
41203269,0,,,
41203270,0,,,
41203271,0,,,
41203272,0,,,
41203273,0,,,
41203274,0,,,
41203275,0,,,
41203276,0,,,
41203277,0,,,
41203278,0,,,
41203279,0,,,
41203280,0,,,
41203281,0,,,
41203282,0,,,
41203283,0,,,
41203284,0,,,
41203285,0,,,
41203286,0,,,
41203287,0,,,
41203288,0,,,
41203289,0,,,
41203290,0,,,
41203291,0,,,
41203292,0,,,
41203293,0,,,
41203294,0,,,
41203295,0,,,
41203296,0,,,
41203297,0,,,
41203298,0,,,
41203299,0,,,
41203300,0,,,
41203301,0,,,
41203302,0,,,
41203303,0,,,
41203304,0,,,
41203305,0,,,
41203306,0,,,
41203307,0,,,
41203308,0,,,
41203309,0,,,
41203310,0,,,
41203311,0,,,
41203312,0,,,
41203313,0,,,
41203314,0,,,
41203315,0,,,
41203316,0,,,
41203317,0,,,
41203318,0,,,
41203319,0,,,
41203320,0,,,
41203321,0,,,
41203322,0,,,
41203323,0,,,
41203324,0,,,
41203325,0,,,
41203326,0,,,
41203327,0,,,
41203328,0,,,
41203329,0,,,
41203330,0,,,
41203331,0,,,
41203332,0,,,
41203333,0,,,
41203334,0,,,
41203335,0,,,
41203336,0,,,
41203337,0,,,
41203338,0,,,
41203339,0,,,
41203340,0,,,
41203341,0,,,
41203342,0,,,
41203343,0,,,
41203344,0,,,
41203345,0,,,
41203346,0,,,
41203347,0,,,
41203348,0,,,
41203349,0,,,
41203350,0,,,
41203351,0,,,
41203352,0,,,
41203353,0,,,
41203354,0,,,
41203355,0,,,
41203356,0,,,
41203357,0,,,
41203358,0,,,
41203359,0,,,
41203360,0,,,
41203361,0,,,
41203362,0,,,
41203363,0,,,
41203364,0,,,
41203365,0,,,
41203366,0,,,
41203367,0,,,
41203368,0,,,
41203369,0,,,
41203370,0,,,
41203371,0,,,
41203372,0,,,
41203373,0,,,
41203374,0,,,
41203375,0,,,
41203376,0,,,
41203377,0,,,
41203378,0,,,
41203379,0,,,
41203380,0,,,
41203381,0,,,
41203382,0,,,
41203383,0,,,
41203384,0,,,
41203385,0,,,
41203386,0,,,
41203387,0,,,
41203388,0,,,
41203389,0,,,
41203390,0,,,
41203391,0,,,
41203392,0,,,
41203393,0,,,
41203394,0,,,
41203395,0,,,
41203396,0,,,
41203397,0,,,
41203398,0,,,
41203399,0,,,
41203400,0,,,
41203401,0,,,
41203402,0,,,
41203403,0,,,
41203404,0,,,
41203405,0,,,
41203406,0,,,
41203407,0,,,
41203408,0,,,
41203409,0,,,
41203410,0,,,
41203411,0,,,
41203412,0,,,
41203413,0,,,
41203414,0,,,
41203415,0,,,
41203416,0,,,
41203417,0,,,
41203418,0,,,
41203419,0,,,
41203420,0,,,
41203421,0,,,
41203422,0,,,
41203423,0,,,
41203424,0,,,
41203425,0,,,
41203426,0,,,
41203427,0,,,
41203428,0,,,
41203429,0,,,
41203430,0,,,
41203431,0,,,
41203432,0,,,
41203433,0,,,
41203434,0,,,
41203435,0,,,
41203436,0,,,
41203437,0,,,
41203438,0,,,
41203439,0,,,
41203440,0,,,
41203441,0,,,
41203442,0,,,
41203443,0,,,
41203444,0,,,
41203445,0,,,
41203446,0,,,
41203447,0,,,
41203448,0,,,
41203449,0,,,
41203450,0,,,
41203451,0,,,
41203452,0,,,
41203453,0,,,
41203454,0,,,
41203455,0,,,
41203456,0,,,
41203457,0,,,
41203458,0,,,
41203459,0,,,
41203460,0,,,
41203461,0,,,
41203462,0,,,
41203463,0,,,
41203464,0,,,
41203465,0,,,
41203466,0,,,
41203467,0,,,
41203468,0,,,
41203469,0,,,
41203470,0,,,
41203471,0,,,
41203472,0,,,
41203473,0,,,
41203474,0,,,
41203475,0,,,
41203476,0,,,
41203477,0,,,
41203478,0,,,
41203479,0,,,
41203480,0,,,
41203481,0,,,
41203482,0,,,
41203483,0,,,
41203484,0,,,
41203485,0,,,
41203486,0,,,
41203487,0,,,
41203488,0,,,
41203489,0,,,
41203490,0,,,
41203491,0,,,
41203492,0,,,
41203493,0,,,
41203494,0,,,
41203495,0,,,
41203496,0,,,
41203497,0,,,
41203498,0,,,
41203499,0,,,
41203500,0,,,
41203501,0,,,
41203502,0,,,
41203503,0,,,
41203504,0,,,
41203505,0,,,
41203506,0,,,
41203507,0,,,
41203508,0,,,
41203509,0,,,
41203510,0,,,
41203511,0,,,
41203512,0,,,
41203513,0,,,
41203514,0,,,
41203515,0,,,
41203516,0,,,
41203517,0,,,
41203518,0,,,
41203519,0,,,
41203520,0,,,
41203521,0,,,
41203522,0,,,
41203523,0,,,
41203524,0,,,
41203525,0,,,
41203526,0,,,
41203527,0,,,
41203528,0,,,
41203529,0,,,
41203530,0,,,
41203531,0,,,
41203532,0,,,
41203533,0,,,
41203534,0,,,
41203535,0,,,
41203536,0,,,
41203537,0,,,
41203538,0,,,
41203539,0,,,
41203540,0,,,
41203541,0,,,
41203542,0,,,
41203543,0,,,
41203544,0,,,
41203545,0,,,
41203546,0,,,
41203547,0,,,
41203548,0,,,
41203549,0,,,
41203550,0,,,
41203551,0,,,
